timestep,speed,
86.3,25.660096,2.5660096
86.4,25.749504,2.5749504
86.5,25.838912,2.5838912
86.6,25.92832,2.592832
86.7,26.017728,2.6017728
86.8,26.107136,2.6107136
86.9,26.196544,2.6196544
87,26.285952,2.6285952
87.1,26.3664192,2.63664192
87.2,26.4468864,2.64468864
87.3,26.5273536,2.65273536
87.4,26.6078208,2.66078208
87.5,26.688288,2.6688288
87.6,26.7687552,2.67687552
87.7,26.8492224,2.68492224
87.8,26.9296896,2.69296896
87.9,27.0101568,2.70101568
88,27.090624,2.7090624
88.1,27.1666208,2.71666208
88.2,27.2426176,2.72426176
88.3,27.3186144,2.73186144
88.4,27.3946112,2.73946112
88.5,27.470608,2.7470608
88.6,27.5466048,2.75466048
88.7,27.6226016,2.76226016
88.8,27.6985984,2.76985984
88.9,27.7745952,2.77745952
89,27.850592,2.7850592
89.1,27.9355296,2.79355296
89.2,28.0204672,2.80204672
89.3,28.1054048,2.81054048
89.4,28.1903424,2.81903424
89.5,28.27528,2.827528
89.6,28.3602176,2.83602176
89.7,28.4451552,2.84451552
89.8,28.5300928,2.85300928
89.9,28.6150304,2.86150304
90,28.699968,2.8699968
90.1,28.789376,2.8789376
90.2,28.878784,2.8878784
